voyageid,shipname,nationality,captain,date_dep,principal_place_of_slave_purchase,principal_place_of_slave_landing,principal_region_of_slave_landing,total_slaves_embarked,total_slaves_disembarked,percentmen,percentwomen,percentboy,percentgirl,percentchild,slave_deaths_during_middle_passage
40778,Espada de Ferro,,"Almeida, Joaquim Francisco de",,Mozambique,"Pernambuco, port unspecified",Pernambuco,492,412,,,,,,
40779, ,,,1816-06-??,Quilimane,"Pernambuco, port unspecified",Pernambuco,390,353,,,,,,
40781,NS da Conceição,,"Borba, Nicolau Antônio da",1816-10-18,Momboza or Zanzibar,"Pernambuco, port unspecified",Pernambuco,119,100,,,,,,
40783,Delfim,Portugal,,,Mozambique,"Pernambuco, port unspecified",Pernambuco,333,305,,,,,,
41316,Regente,,"Santos, Casemiro Lúcio dos",,Quilimane,Rio de Janeiro,Southeast Brazil,472,428,,,,,,
41317,NS de Esperança,,,1802-12-10,Mozambique,,,390,353,,,,,,
41318,Minerva,Spain,"Ford, Gabriel",,Mozambique,Montevideo,Rio de la Plata,316,282,,,,,,34
41319,Africano,Spain,,1802-04-25,Mozambique,Buenos Aires,Rio de la Plata,342,310,,,,,,
41320,S Pedro,,,,Mozambique,Cape of Good Hope,Southeast Africa and Indian Ocean islands,363,337,,,,,,
41399,Centinela,Spain,"Clavel, Jaime",,Mozambique,Havana,Cuba,424,405,41.0%,14.0%,23.0%,23.0%,45.0%,19
41783,Joaquim,Portugal,"Gomes, Manoel José",1797-09-26,Quilimane,Rio de Janeiro,Southeast Brazil,201,186,,,,,,
41784,Fortuna,,,1840-09-??,Quilimane,Rio de Janeiro,Southeast Brazil,514,421,,,,,,
41799,Feliz Americano,,"Henriques, João Militão",1822-04-15,Quilimane,Rio de Janeiro,Southeast Brazil,390,353,,,,,,
41802,Eugênia Africana,,,,Quilimane,Rio de Janeiro,Southeast Brazil,514,421,,,,,,
41803,Aurora,,"Pinto, José Pereira",,Mozambique,Rio de Janeiro,Southeast Brazil,530,473,,,,,,
41808,Dois Irmãos,,"Meireles, José Joaquim",,Inhambane,Rio de Janeiro,Southeast Brazil,160,147,,,,,,
41809,Rainha dos Anjos,Portugal,,,Mozambique,Rio de Janeiro,Southeast Brazil,492,412,,,,,,
41829,Paquete Real,,"Siqueira, José Pedro de",1817-07-27,Mozambique,"Bahia, port unspecified",Bahia,390,353,,,,,,
41840,Generoso,Portugal,"Lopes, Manoel José",1818-06-06,Mozambique,"Bahia, port unspecified",Bahia,390,353,,,,,,
41846,Brilhante,Portugal,"Santa Bárbara, Manoel Maria",,Mozambique,"Rio de Janeiro, Sao Paulo, Santa Catarina",Southeast Brazil,490,444,,,,,,
41888,Epifania,,"Carvalho, Miguel Alves Machado de",,Mozambique,"Brazil, region unspecified",Other Brazil,183,160,,,,,,
41891,Esperança,,,1839-01-??,Quilimane,Campos,Southeast Brazil,733,600,,,,,,
41901, ,Portugal,"Porto, Emmanuel Francisco",,"West Central Africa and St. Helena, port unspecified",Cape of Good Hope,Southeast Africa and Indian Ocean islands,500,174,,,,,,326
41983,Elizabeth,Portugal,,,"Southeast Africa and Indian Ocean islands, port unspecified",Cape of Good Hope,Southeast Africa and Indian Ocean islands,533,436,,,,,,
41984,Aguia Roxa,Portugal,,,"Southeast Africa and Indian Ocean islands, port unspecified",Rio de Janeiro,Southeast Brazil,238,37,,,,,,201
44198,Hasselt,,"Moocker, Joost Hendrixsen",1657-04-10,Popo,Cape of Good Hope,Southeast Africa and Indian Ocean islands,262,228,49.0%,51.0%,,,5.0%,
46264,Quatorze de Julho,Portugal,"Franca, Antônio Martinez Mena",,Quilimane,"Rio de Janeiro, Sao Paulo, Santa Catarina",Southeast Brazil,307,277,,,,,,
46270,Dublin,Portugal,"Cunha, Antônio Fonseca da",,Mozambique,"Rio de Janeiro, Sao Paulo, Santa Catarina",Southeast Brazil,490,444,,,,,,
46271,Adamastor,Portugal,"Viana, Antônio Rodrigues de",,Quilimane,"Rio de Janeiro, Sao Paulo, Santa Catarina",Southeast Brazil,490,444,,,,,,
46301,NS da Lapa,,"Bitencourt, Manoel José",1802-01-04,Mozambique,Rio de Janeiro,Southeast Brazil,310,279,,,,,,
46400,Robusto,,"Baião, Jerônimo Dias",1815-06-13,Mozambique,Rio de Janeiro,Southeast Brazil,310,279,,,,,,
46409,NS de Nazaré e Boa Memória,,,1664-07-20,Mozambique,"Bahia, port unspecified",Bahia,301,272,,,,,,
46442,NS da Conceição Aliança,,,,Mozambique,"Pernambuco, port unspecified",Pernambuco,251,230,,,,,,
46449,Dois Amigos,,,1839-11-??,Mozambique,Rio de Janeiro,Southeast Brazil,514,421,,,,,,
46450,NS da Atalaia,Portugal,,,Mozambique,Rio de Janeiro,Southeast Brazil,119,82,,,,,,
46451,Afonso de Albuquerque,,,,Mozambique,Rio de Janeiro,Southeast Brazil,514,421,,,,,,
46452,Oriental,Uruguay,"Gonçalves, Pedro Augusto",,Lourenço Marques,,,514,421,,,,,,
46453,Sr do Bonfim,Portugal,,,Mozambique,,,386,267,,,,,,
46454,Aurora,,"Silveira, Valentim José da",,Mozambique,"Brazil, region unspecified",Other Brazil,514,421,,,,,,
46455,Delfim,Portugal,"Santos, Vicente Tomás dos",,Mozambique,Maranhão,Amazonia,273,250,,,,,,
46456,Maria Teresa,Portugal,"Santos, Vicente Tomás dos",1822-05-20,Inhambane,,,390,353,,,,,,
46457,Sete de Fevereiro,,"Rodrigues, Francisco de Paula",,Mozambique,Rio de Janeiro,Southeast Brazil,514,421,,,,,,
46458,Pérola do Mar,,"Barbosa, Joaquim Gomes",,Mozambique,Rio de Janeiro,Southeast Brazil,475,436,,,,,,
46460,Jovem Matilde,Portugal,,,Quilimane,Rio de Janeiro,Southeast Brazil,490,444,,,,,,
46461,General Cavalcanti,,"Nicolau, Pedro José",,Quilimane,"Bahia, port unspecified",Bahia,273,250,,,,,,
46463,Flor de Moçambique,,,,Lourenço Marques,Rio de Janeiro,Southeast Brazil,514,421,,,,,,
46464,Brilhante,,,,Mozambique,Rio de Janeiro,Southeast Brazil,514,421,,,,,,
46465,Oceano,,,,Mozambique,"Brazil, region unspecified",Other Brazil,140,117,,,,,,
46466,NS da Guia Morgado do Almeo,,"Silva, José Jorge da",,Quilimane,"Bahia, port unspecified",Bahia,365,334,,,,,,
46467,Flor da Bahia,,,,Mozambique,"Brazil, region unspecified",Other Brazil,680,600,,,,,,80
