voyageid,shipname,nationality,captain,date_dep,principal_place_of_slave_purchase,principal_place_of_slave_landing,principal_region_of_slave_landing,total_slaves_embarked,total_slaves_disembarked,percentmen,percentwomen,percentboy,percentgirl,percentchild,slave_deaths_during_middle_passage
20105,Oxford,Great Britain,"Cary, Thomas",,Madagascar,"Barbados, port unspecified",Barbados,289,200,,,,,,
20113,Philip,Great Britain,Roberts,,Madagascar,"Barbados, port unspecified",Barbados,118,100,,,,,,
20248,Betty,Great Britain,"Langhorne, Charles",1700-11-14,"Southeast Africa and Indian Ocean islands, port unspecified","Barbados, port unspecified",Barbados,59,47,,,,,,
20662,Elizabeth,Great Britain,"Webster, Jno",1717-04-09,Madagascar,Kingston,Jamaica,600,385,,,,,,215
20977, ,Great Britain,,,Madagascar,"Barbados, port unspecified",Barbados,304,210,,,,,,
20978, ,Great Britain,,,Madagascar,"Barbados, port unspecified",Barbados,304,210,,,,,,
21043, ,Great Britain,,,Madagascar,"Barbados, port unspecified",Barbados,304,210,,,,,,
21078, ,Great Britain,,,Madagascar,"Jamaica, port unspecified",Jamaica,30,21,,,,,,
21095, ,Great Britain,,,Madagascar,"Montserrat, port unspecified",Montserrat,303,210,,,,,,
21107, ,Great Britain,,,Madagascar,Newcastle (Nevis),Nevis,304,210,,,,,,
21382,Margarett,U.S.A.,"Cransborough, Oliver",,Madagascar,"Barbados, port unspecified",Barbados,240,166,,,,,,
21383,Pellican,Great Britain,"Hicks, John",,Madagascar,"Barbados, port unspecified",Barbados,260,180,,,,,,
21384,Bridgewater Merchant,Great Britain,"Cribb, John",,Madagascar,"Barbados, port unspecified",Barbados,427,295,,,,,,
21508,Lion,Great Britain,"Howard, John",1663-08-??,Madagascar,"Barbados, port unspecified",Barbados,200,138,,,,,,
21509,Eagle,Great Britain,"Howard, Robert",1663-08-??,Madagascar,"Barbados, port unspecified",Barbados,135,93,,,,,,
21510,Society,Great Britain,"Edwards, Thomas",,Madagascar,,,61,42,,,,,,
21511,Rebecca,Great Britain,"Bird, Daniel",,Madagascar,,,304,210,,,,,,
21512,Daniel and Thomas,Great Britain,"Davies, Samuell",,Madagascar,,,122,,,,,,,
21910,Gascoigne,Great Britain,"Bryan, Thomas",,Madagascar,York River,Virginia,192,133,,,,,,
24310, ,,,,Madagascar,"Barbados, port unspecified",Barbados,337,233,,,,,,
24312,John and Mary,Great Britain,"Deeron, William",,Madagascar,"Jamaica, port unspecified",Jamaica,29,22,,,,,,
24313,Margarett,U.S.A.,"Cransborough, Oliver",,Madagascar,"Jamaica, port unspecified",Jamaica,185,128,,,,,,
24549,Santiago Maior,,Vareiro,1762-03-??,Mozambique,,,386,267,,,,,,
25151, ,,,1676-10-??,Madagascar,Boston,Massachusetts,53,45,,,,,,
25313,Mendon,U.S.A.,"Curtis, Richard",,Mozambique,Buenos Aires,Rio de la Plata,267,201,,,,,,
25390,Benjamin,U.S.A.,Newell,1804-04-28,Mozambique,Havana,Cuba,267,201,,,,,,
25415,Horizon,U.S.A.,"McClure, Alexander",,Mozambique,Charleston,South Carolina,543,243,,,,,,300
25445,Margaret,U.S.A.,"Livingston, William",1804-06-25,Mozambique,Havana,Cuba,300,157,58.0%,7.0%,30.0%,6.0%,36.0%,143
25457,Gustavia,Sweden,"Hill, M",,Momboza or Zanzibar,Charleston,South Carolina,332,250,,,,,,
25529,Elizabeth,U.S.A.,Latimore,,Mozambique,Charleston,South Carolina,83,69,,,,,,
25531,Dolphin,U.S.A.,Ross,1806-05-09,Mozambique,,,267,201,,,,,,
25532,Young Adam,,Haviland,1806-05-08,Mozambique,,,101,88,,,,,,
25534,Pigou,U.S.A.,"Collet, John",,Quilimane,Montevideo,Rio de la Plata,300,196,,,,,,
25535,Juliana,U.S.A.,Nicols,,Mozambique,Montevideo,Rio de la Plata,146,124,,,,,,
25536,Espasia,U.S.A.,"Moore, Benjamin",1805-03-10,Mozambique,Montevideo,Rio de la Plata,208,167,,,,,,41
25565,Merrimac (a) Merrimack,U.S.A.,Williams,,"Southeast Africa and Indian Ocean islands, port unspecified",Montevideo,Rio de la Plata,400,335,,,,,,
25576,Dolphin,U.S.A.,Ross,,Mozambique,,,267,201,,,,,,
25577,Young Adam,,Haviland,,Mozambique,,,149,126,,,,,,
25678, ,,,,Madagascar,New York,New York,149,126,,,,,,
25679, ,,,,Madagascar,New York,New York,149,126,,,,,,
25680, ,,,,Madagascar,"Barbados, port unspecified",Barbados,337,233,,,,,,
25681, ,,,,Madagascar,"Barbados, port unspecified",Barbados,337,233,,,,,,
25683, ,,,,Madagascar,"Virginia, port unspecified",Virginia,304,210,,,,,,
25684,Beckford,Great Britain,"Harris, John",1698-06-??,Madagascar,West Indies (colony unspecified),Other Caribbean,303,210,,,,,,
25685, ,,,1678-01-??,Madagascar,"Jamaica, port unspecified",Jamaica,149,126,,,,,,
25686,Katherine,,South,,St. Lawrence,"Jamaica, port unspecified",Jamaica,304,210,,,,,,
26405,Henry,,"Harvey, John",1716-03-13,Madagascar,"Barbados, port unspecified",Barbados,257,187,,,,,,
28043, ,,,,Madagascar,"Jamaica, port unspecified",Jamaica,149,126,,,,,,
31044,Barberie,France,Prudhomme de Monbray,1775-??-??,Mozambique,Cap Français,Saint-Domingue,388,268,45.0%,27.0%,18.0%,10.0%,28.0%,
31071,Cybèle,France,"Caudeau, J-B",1777-05-17,"Southeast Africa and Indian Ocean islands, port unspecified",Cap Français,Saint-Domingue,386,386,67.0%,13.0%,15.0%,6.0%,20.0%,
31091,Geneviève,France,"Baherre, J-F",1781-11-28,Mozambique,"Martinique, port unspecified",Martinique,386,267,,,,,,
31098,Themis,France,"Berthomme, Nicolas",1783-04-10,Kilwa,Cap Français,Saint-Domingue,386,267,,,,,,
31100,Rose,France,Wibert,1783-04-22,Mozambique,Cap Français,Saint-Domingue,301,228,,,,,,73
31151,Flore,France,"Pascaud, Pierre",1785-03-25,Mozambique,Cap Français,Saint-Domingue,434,300,,,,,,
31160,Bien Aimée,France,"Bouan, Chevalier de",1785-05-09,Kilwa,"Saint-Domingue, port unspecified",Saint-Domingue,386,267,,,,,,
31180,Madame,France,"Berthomme, Nicolas",1786-03-29,"Southeast Africa and Indian Ocean islands, port unspecified",Port-au-Prince,Saint-Domingue,643,407,49.0%,27.0%,20.0%,4.0%,24.0%,236
31181,Comte d'Angivilliers,France,"Heguy, Alex",1786-03-30,Mozambique,Cap Français,Saint-Domingue,863,588,,,,,,275
31246,Flore,France,"Bretagne, Julien",1788-04-05,Mozambique,Cayes (Les),Saint-Domingue,423,292,,,,,,
31248,Madame,France,"Berthommé, Nicholas",1788-04-06,Mozambique,Port-au-Prince,Saint-Domingue,586,405,,,,,,
31330,Flore,France,"Bretagne, Julien",1790-03-06,Mozambique,Cap Français,Saint-Domingue,435,364,,,,,,
31622,Vaillant,France,"Brugevin, Joseph",1775-12-09,Mozambique,Cap Français,Saint-Domingue,386,267,,,,,,
31649,Jolie Henriette de Ribeaucourt,France,Le Breton de la Vieuville,1783-07-17,Mozambique,Cap Français,Saint-Domingue,386,267,,,,,,
31650,Victoire,France,"Michel, Jean; Rouillard",1783-07-17,Mozambique,Port-au-Prince,Saint-Domingue,234,162,,,,,,
31655,Licorne,France,"Brugevin, Joseph",1783-10-16,Mozambique,Cap Français,Saint-Domingue,434,300,,,,,,
31672,Actif,France,"Taudin, Arnaud",1785-08-13,Kilwa,Cap Français,Saint-Domingue,410,283,,,,,,
31681,Clary,France,"Fontenelle, de",1786-01-18,Kilwa,Saint-Marc,Saint-Domingue,321,222,,,,,,
